symbol1,symbol2,company_name1,company_name2,sector1,sector2,subsector1,subsector2,segment1,segment2,correlation_group,same_subsector,correlation,n_obs,classification_version
PETR3,PETR4,PETROBRAS,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,Exploration Refining and Distribution,Within-sector,True,0.9401996848942772,6885,initial macro-sector classification
ELET3,ELET6,ELETROBRAS,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Transmission,Generation and Transmission,Within-sector,True,0.9110208884303852,6852,initial macro-sector classification
GGBR4,GOAU4,GERDAU,METALURGICA GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Holdings,Within-sector,True,0.8924553244214966,6174,initial macro-sector classification
BBDC3,BBDC4,BRADESCO,BRADESCO,Financials,Financials,Banks,Banks,Banks,Banks,Within-sector,True,0.8657715919032228,6885,initial macro-sector classification
GGBR3,GGBR4,GERDAU,GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.8030292955543932,5682,initial macro-sector classification
BRAP4,VALE3,BRADESPAR,VALE,Basic Materials,Basic Materials,Mining,Mining,Holdings,Minerals,Within-sector,True,0.7968798402864353,6288,initial macro-sector classification
CMIG3,CMIG4,CEMIG,CEMIG,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.7847559639607758,6880,initial macro-sector classification
GGBR3,GOAU4,GERDAU,METALURGICA GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Holdings,Within-sector,True,0.7659524484978304,5682,initial macro-sector classification
BRAP3,BRAP4,BRADESPAR,BRADESPAR,Basic Materials,Basic Materials,Mining,Mining,Holdings,Holdings,Within-sector,True,0.7496967088587942,6210,initial macro-sector classification
BBDC4,ITSA4,BRADESCO,ITAUSA,Financials,Financials,Banks,Financial Services,Banks,Holdings,Within-sector,False,0.7476787031426108,6885,initial macro-sector classification
GGBR4,GOAU3,GERDAU,METALURGICA GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Holdings,Within-sector,True,0.7293218231930182,5471,initial macro-sector classification
GGBR3,GOAU3,GERDAU,METALURGICA GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Holdings,Within-sector,True,0.7169103578251058,5349,initial macro-sector classification
GOAU3,GOAU4,METALURGICA GERDAU,METALURGICA GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Holdings,Holdings,Within-sector,True,0.7160604805995727,5852,initial macro-sector classification
CPLE3,CPLE6,COPEL,COPEL,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Distribution,Within-sector,True,0.7142872687510438,6753,initial macro-sector classification
BBDC3,ITSA4,BRADESCO,ITAUSA,Financials,Financials,Banks,Financial Services,Banks,Holdings,Within-sector,False,0.6967909376463122,6884,initial macro-sector classification
CSNA3,USIM5,CSN,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.678541854695583,6668,initial macro-sector classification
CSNA3,GGBR4,CSN,GERDAU,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.6695250816179213,6174,initial macro-sector classification
USIM3,USIM5,USIMINAS,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Steel,Steel,Within-sector,True,0.6563850264888184,5961,initial macro-sector classification
